Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Profit growth 3Years,Sales growth 3Years
Transrail Light,544317,TRANSRAILL,INE454P01035,Electrical Equipment,Heavy Electrical Equipment,407.60,13.10,5472.26,0.73,107.88,1.95,1736.03,4.59,33.56,14.95,9.71,8.93,202606.00,30.17,8.04,-13.48,56.24,29.72
True Colors,544531,,INE1LDV01015,Industrial Manufacturing,Industrial Products,143.50,11.32,353.80,0.00,16.44,-24.13,150.43,6.86,25.69,29.08,26.29,15.23,202603.00,12.64,6.67,-63.52,99.81,55.15
U. Y. Fincorp,530579,UYFINCORP,INE152C01025,Finance,Non Banking Financial Company (NBFC),19.71,6.05,374.97,0.00,19.62,228.64,72.51,230.64,18.49,117.99,390.73,342.98,202606.00,3.26,1.03,84.00,84.00,41.47
Uday Jewellery,539518,UDAYJEW,INE551B01012,Consumer Durables,"Gems, Jewellery And Watches",163.00,16.63,555.08,0.32,10.67,5.75,143.27,7.21,22.39,76.72,74.33,57.98,202606.00,11.35,3.13,35.13,55.57,60.13
Unified Data,544406,,INE1ABX01018,IT - Services,IT Enabled Services,377.50,18.62,758.40,2.92,23.48,94.05,138.97,21.47,45.25,30.75,38.14,12.00,202603.00,20.28,11.69,-89.94,59.89,37.62
Univastu India,,UNIVASTU,INE562X01013,Construction,Civil Construction,147.00,17.44,529.01,0.00,10.06,281.61,103.72,252.67,29.96,106.68,163.23,50.19,202606.00,8.43,2.77,49.35,52.06,40.92
Utssav CZ Gold,,UTSSAV,INE06IJ01010,Consumer Durables,"Gems, Jewellery And Watches",612.50,25.03,1479.05,0.00,29.64,95.13,679.49,87.81,28.82,78.69,131.43,130.21,202603.00,24.46,12.27,18.39,112.10,69.25
V-Marc India,,VMARCIND,INE0GXK01018,Industrial Products,Cables - Electricals,339.75,42.55,4978.19,0.00,28.55,163.62,555.51,102.42,41.37,98.43,176.03,106.27,202603.00,6.83,1.95,106.95,111.78,93.61
Vikram Solar,544488,VIKRAMSOLR,INE078V01014,Electrical Equipment,Other Electrical Equipment,163.95,16.47,5940.78,0.00,19.78,-85.17,1563.09,37.89,30.56,33.26,44.08,28.53,202606.00,9.85,0.55,180.52,213.80,32.32
Vivid Electromech,,VIVIDEL,INE24H301028,Electrical Equipment,Other Electrical Equipment,1802.95,50.72,1602.41,0.00,22.16,41.69,129.57,27.96,58.63,28.91,56.10,58.46,202603.00,45.13,31.64,95.98,508.93,50.00
Viyash Scientific,512529,VIYASH,INE807F01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,249.20,49.53,10977.68,0.00,79.29,103.59,946.36,19.54,13.42,53.04,147.82,134.16,202606.00,5.76,1.51,56.12,72.82,34.02
Waaree Energies,544277,WAAREEENER,INE377N01017,Electrical Equipment,Other Electrical Equipment,2560.00,18.29,73638.71,0.15,891.87,14.09,7931.79,79.22,38.78,94.31,81.21,100.58,202606.00,132.67,29.56,76.01,99.63,57.82
Waaree Renewab.,534618,WAAREERTL,INE299N01021,Electrical Equipment,Other Electrical Equipment,811.55,16.60,8470.90,0.12,114.49,32.30,811.34,34.53,85.38,80.19,75.63,76.32,202606.00,48.93,10.97,100.98,101.14,113.62
Welspun Special.,500365,WELSPLSOL,INE731F01037,Industrial Products,Iron & Steel Products,52.75,122.34,3495.26,0.00,5.16,788.00,193.67,-3.80,9.90,15.15,500.28,118.96,202606.00,0.43,0.08,52.58,52.58,28.48
Workmates Core2,544610,,INE1I1301016,IT - Software,Computers - Software & Consulting,446.65,35.22,577.03,0.45,7.05,-0.42,69.00,21.46,37.23,37.25,16.50,22.42,202603.00,12.68,5.46,-81.37,102.93,70.60
Yash Highvoltage,544310,,INE00GK01023,Electrical Equipment,Other Electrical Equipment,944.00,72.46,2821.39,0.14,23.72,68.89,135.57,46.53,28.58,57.22,82.22,74.28,202603.00,13.08,8.31,-28.38,50.51,37.55
Yatra Online,543992,YATRA,INE0JR601024,Leisure Services,"Tour, Travel Related Services",108.65,49.52,1704.91,0.00,0.34,-97.88,187.90,-10.44,7.23,9.35,-29.07,10.73,202606.00,1.99,0.02,69.96,88.77,38.34
Z-Tech (India),,ZTECH,INE0ISZ01012,Other Utilities,Waste Management,432.60,17.46,643.33,0.00,4.05,33.22,29.14,42.29,19.76,66.71,81.63,51.71,202606.00,25.52,2.78,,160.01,82.26
