Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Pledged percentage
Ganesha Ecosphe.,514167,GANECOS,INE845D01014,Textiles & Apparels,Other Textile Products,1005.65,47.70,2694.72,0.35,29.03,170.05,423.67,25.67,5.58,6.96,-38.15,-17.13,202606.00,21.08,10.83,-21.83,31.87
Garnet Intl.,512493,,INE590B01010,Finance,Investment Company,59.49,37.19,116.82,0.00,-0.32,-124.81,0.54,-74.65,11.24,-60.10,53.92,36.44,202606.00,1.60,-0.16,18.70,60.49
Gautam Gems,540936,,INE063Z01017,Consumer Durables,"Gems, Jewellery And Watches",3.04,16.35,12.42,0.00,0.12,100.00,29.23,24.49,2.08,12.58,137.50,1.49,202606.00,0.19,0.03,35.04,57.93
Gayatri Highways,541546,GAYAHWS,INE287Z01012,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",1.90,,45.53,0.00,-2.83,-33.49,7.09,,67.14,439.65,-125.98,86.40,202606.00,-0.08,-0.12,25.91,59.00
Gayatri Sugars,532183,,INE622E01023,Agricultural Food & other Products,Sugar,7.97,113.90,59.23,0.00,-19.09,-2.63,24.50,-12.03,12.40,5.46,225.00,-0.15,202606.00,0.07,-2.57,-58.74,39.60
GEE,504028,,INE064H01021,Electrical Equipment,Other Electrical Equipment,125.40,36.26,651.79,0.00,6.85,316.33,102.86,29.91,11.35,18.70,264.86,3362.83,202606.00,3.63,1.32,21.52,43.62
Gensol Engineer.,542851,GENSOL,INE06H201014,Electrical Equipment,Other Electrical Equipment,17.00,0.65,65.36,0.00,17.86,32.52,344.51,56.42,14.33,74.22,111.15,87.37,202412.00,27.04,4.45,152.94,95.10
Gian Lifecare,542918,,INE063601012,Healthcare Services,Healthcare Service Provider,4.74,,4.91,0.00,0.10,-71.43,1.12,-29.56,2.40,-62.85,-135.69,-101.01,202512.00,-0.93,0.10,,65.08
Globesecure Tech,,GSTL,INE00WS01056,IT - Services,IT Enabled Services,10.45,,16.65,0.00,0.62,119.94,12.82,100.94,1.18,22.41,90.24,206.03,202603.00,-0.18,0.39,,81.28
GMR Urban,543490,GMRP&UI,INE0CU601026,Power,Power Generation,91.64,,7157.25,0.00,-35.38,48.83,1705.18,3.44,11.96,15.79,-95.27,16.85,202606.00,8.11,-0.53,,59.96
