Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Profit growth 3Years,Sales growth 3Years
Delton Cables,504240,,INE872E01016,Electrical Equipment,Other Electrical Equipment,400.00,23.76,345.61,0.49,1.26,-73.14,320.31,58.39,14.81,39.07,10.90,36.75,202603.00,17.04,1.46,194.44,194.44,53.61
Dynacons Sys.,532365,DSSL,INE417B01040,IT - Services,IT Enabled Services,1572.75,23.88,2003.23,0.03,23.45,28.07,339.65,9.95,39.17,10.89,22.28,40.58,202512.00,65.86,18.43,57.20,63.66,24.66
Eco Recyc.,530643,,INE316A01038,Other Utilities,Waste Management,465.00,38.78,897.30,0.00,7.14,267.79,18.61,90.48,29.97,9.60,-64.22,-7.57,202603.00,11.98,3.96,78.14,78.14,39.52
Effwa Infra,,EFFWA,INE0U9101019,Other Utilities,Waste Management,284.00,22.97,657.38,0.00,18.47,20.33,163.09,31.25,29.26,36.82,42.32,40.24,202603.00,12.36,7.98,-61.73,77.36,30.08
Emmvee Photovol.,544608,EMMVEE,INE1C6T01020,Electrical Equipment,Other Electrical Equipment,311.75,19.93,21583.85,0.00,392.38,89.43,1738.81,62.25,44.83,116.21,193.15,140.24,202603.00,15.62,5.67,23.55,394.58,101.40
Encompass Design,,ENCOMPAS,INE433T01015,Commercial Services & Supplies,Trading & Distributors,242.00,26.36,343.24,0.00,7.97,-16.19,39.96,1.73,25.62,24.65,20.67,23.00,202603.00,9.18,5.62,29.80,129.53,46.60
Entero Healthcar,544122,ENTERO,INE010601016,Retailing,Pharmacy Retail,1164.05,42.44,5065.75,0.00,45.13,9.03,1909.93,42.63,10.55,29.35,26.09,54.91,202603.00,26.44,6.44,43.83,130.99,25.93
Enviro Infra,544290,EIEL,INE0LLY01014,Other Utilities,Water Supply & Management,185.55,17.22,3256.97,0.00,54.39,-28.86,427.31,8.75,20.39,7.46,7.41,3.38,202603.00,10.42,2.96,-20.52,50.96,50.20
EPack PrefabTech,544540,EPACKPEB,INE0MLS01022,Industrial Manufacturing,Industrial Products,186.85,20.30,1880.27,0.00,30.29,51.30,470.80,42.41,21.71,34.52,56.04,37.72,202603.00,9.21,3.01,-46.82,57.46,32.43
Fedders Holding,511628,FEDDERSHOL,INE417D01020,Finance,Non Banking Financial Company (NBFC),34.95,11.63,703.95,0.00,36.70,887.60,79.68,-10.21,7.37,-29.76,41.31,-32.69,202512.00,3.69,1.82,42.03,154.43,67.29
