Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years,Profit growth 3Years
Cochin Minerals,513353,,INE105D01013,Chemicals & Petrochemicals,Specialty Chemicals,255.80,12.68,200.29,3.13,3.31,12.86,85.54,13.43,13.63,-9.99,-32.94,-49.68,202603.00,15.98,4.23,-34.58,-13.51,-34.58
Compucom Soft.,532339,COMPUSOFT,INE453B01029,Other Consumer Services,Education,13.60,151.56,107.61,1.47,1.09,-434.12,7.93,-17.48,1.85,1.37,-52.03,-56.05,202603.00,0.36,0.14,-45.26,-14.50,-45.26
COSYN,538922,,INE029B01019,IT - Software,Software Products,20.21,137.82,15.16,0.00,0.03,-57.14,1.69,-64.64,2.27,-24.34,106.59,318.52,202603.00,0.15,0.04,-23.94,-9.83,-23.94
Country Condo,531624,COUNCODOS,INE695B01025,Realty,"Residential, Commercial Projects",4.91,64.58,38.10,0.00,0.18,100.00,3.68,40.46,3.42,4.61,-1.67,-12.93,202603.00,0.08,0.02,-10.02,-6.08,-10.02
Crest Ventures,511413,CREST,INE559D01011,Finance,Non Banking Financial Company (NBFC),347.75,21.13,989.34,0.29,8.55,8.02,31.98,-32.76,5.67,-22.11,-47.09,-33.96,202603.00,16.46,2.93,-50.91,-37.46,-50.91
Croissance Ltd,531909,,INE587J01027,Realty,"Residential, Commercial Projects",1.38,189.20,9.46,0.00,0.00,-100.00,0.28,,0.84,510.00,,-160.00,202603.00,0.00,0.00,-53.27,-38.32,-53.27
D P Wires,543962,DPWIRES,INE864X01013,Industrial Products,Iron & Steel Products,185.25,16.33,287.15,0.00,9.39,132.43,129.26,-6.21,9.15,-22.58,-20.81,-34.45,202603.00,11.34,6.06,-24.60,-26.61,-24.60
DAPS Advertising,543651,,INE975Z01012,Media,Advertising & Media Agencies,23.39,8.96,12.10,0.86,0.91,16.67,12.33,11.58,10.35,16.32,13.45,21.90,202603.00,2.61,1.76,-20.63,-9.41,-20.63
Davangere Sugar,543267,DAVANGERE,INE179G01029,Diversified FMCG,Diversified FMCG,4.02,67.55,574.86,0.00,1.95,0.52,83.82,47.29,5.56,11.06,-22.07,-6.48,202603.00,0.06,0.01,-13.81,-5.16,-13.81
DCM Shriram Inds,523369,DCMSRIND,INE843D01027,Agricultural Food & other Products,Sugar,38.05,11.94,496.86,5.26,15.91,-19.32,273.54,11.29,7.90,-43.45,-58.24,-49.65,202603.00,3.19,1.22,-22.63,-20.98,-11.42
