Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years,Profit growth 3Years
TGV Sraac,507753,,INE284B01028,Chemicals & Petrochemicals,Commodity Chemicals,112.00,9.08,1199.41,0.89,27.99,28.87,511.11,4.99,12.67,11.50,45.01,52.33,202603.00,12.32,2.61,-28.55,-5.70,-28.55
Thakkers Develp.,526654,THAKDEV,INE403F01017,Realty,"Residential, Commercial Projects",136.99,24.13,123.29,0.00,-2.10,-154.97,4.78,-22.65,4.55,9.75,-21.51,-39.97,202603.00,5.68,-2.33,-31.86,-15.65,-31.86
Thinkink Picture,539310,,INE365S01045,Media,Advertising & Media Agencies,0.20,20.91,28.44,0.00,0.38,124.36,0.02,-99.61,1.16,-72.41,1611.11,150.91,202603.00,0.01,0.00,-32.64,-53.88,-32.64
Transpek Inds.,506687,TRANSPEK,INE687A01016,Chemicals & Petrochemicals,Commodity Chemicals,1038.10,12.70,579.84,1.93,6.58,-65.82,148.22,-10.31,8.31,-4.41,-17.02,-9.56,202603.00,81.73,11.78,-18.86,-9.09,-18.86
TRF,505854,TRF,INE391D01019,Industrial Manufacturing,Industrial Products,238.70,37.94,262.57,0.00,-6.91,-296.31,19.39,-28.48,10.54,-29.57,-65.09,-70.37,202603.00,-4.06,-6.28,-56.83,-21.70,-56.83
Trigyn Techno.,517562,TRIGYN,INE948A01012,IT - Software,Computers - Software & Consulting,57.95,84.55,178.40,0.00,0.63,-77.35,251.95,5.13,2.29,8.73,-82.96,-79.55,202603.00,0.65,0.20,-60.67,-8.45,-60.67
Tuticorin Alkali,506808,,INE400A01014,Chemicals & Petrochemicals,Commodity Chemicals,54.24,18.05,660.84,0.00,8.02,10.77,83.44,3.14,21.99,9.14,-17.38,0.55,202603.00,3.00,0.66,-28.73,-12.89,-28.73
TV Vision,540083,TVVISION,INE871L01013,Entertainment,TV Broadcasting & Software Production,5.22,,20.22,0.00,-13.29,-69.08,0.15,-98.35,,-73.42,-28.98,-49.39,202603.00,-9.39,-3.62,-35.27,-41.66,-35.27
Tyche Industries,532384,,INE443B01012,Pharmaceuticals & Biotechnology,Pharmaceuticals,136.80,20.20,140.22,2.19,1.15,22.34,16.20,30.96,6.83,-18.08,-43.99,-80.14,202603.00,6.77,1.12,-21.34,-10.73,-21.34
Ugar Sugar Works,530363,UGARSUGAR,INE071E01023,Agricultural Food & other Products,Sugar,41.42,34.24,465.98,0.00,45.76,-10.42,389.49,-23.78,9.00,11.61,176.42,155.98,202603.00,1.21,4.07,-49.07,-6.13,-49.07
United Leasing,507808,,INE357P01014,Textiles & Apparels,Other Textile Products,36.00,120.00,10.80,0.00,-0.01,94.44,1.37,-40.17,4.18,-9.04,-18.18,9.47,202603.00,0.10,-0.03,-40.63,-11.90,-40.63
Valiant Organics,540145,VALIANTORG,INE565V01010,Chemicals & Petrochemicals,Specialty Chemicals,297.20,27.64,832.74,0.00,15.12,281.82,217.70,6.82,6.21,2.73,1107.69,63.75,202603.00,12.26,5.40,-25.94,-6.78,-25.16
Vijay Solvex,531069,,INE362D01010,Agricultural Food & other Products,Edible Oil,595.00,12.44,190.55,0.00,5.37,-28.11,605.06,11.19,7.32,22.62,-31.85,2.56,202512.00,47.84,16.77,-31.62,-12.32,-31.62
Vinyl Chemicals,524129,VINYLINDIA,INE250B01029,Chemicals & Petrochemicals,Trading - Chemicals,261.95,38.15,480.34,2.67,4.65,-36.04,179.84,4.03,14.86,4.35,-33.56,-48.92,202603.00,8.99,2.54,-28.24,-13.63,-28.24
VLS Finance,511333,VLSFINANCE,INE709A01018,Finance,Investment Company,229.23,33.07,719.29,0.65,-74.54,-87.15,-98.86,-103.08,0.96,-61.00,-52.95,-69.83,202603.00,6.93,-23.75,-21.78,-22.36,-27.04
Waa Solar,541445,,INE799N01012,Power,Power Generation,56.55,115.42,75.02,0.00,-1.17,-114.19,18.96,36.80,3.28,-1.70,-90.67,49.66,202603.00,0.49,-0.88,-59.58,-17.10,-59.58
Welspun Investme,533252,WELINV,INE389K01018,Finance,Investment Company,1840.30,221.69,671.71,0.00,-0.13,,0.13,116.67,0.58,-1.14,-18.11,-17.92,202603.00,8.29,-0.36,-17.92,-12.07,-17.92
WEP Solutions,532373,,INE434B01029,IT - Services,IT Enabled Services,26.68,47.70,98.26,1.87,1.19,32.22,17.68,-2.54,6.06,4.82,-50.12,-2.22,202603.00,0.56,0.32,-29.41,-9.69,-29.10
Yashraj Contain.,530063,,INE095C01018,Industrial Products,Packaging,4.75,,8.08,0.00,-0.15,34.78,0.00,,,-100.00,5.56,69.11,202512.00,-14.96,-0.09,-48.40,-75.02,-48.40
Zenith Health,530665,,INE812B01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,3.25,1747.00,17.47,0.00,-0.34,-409.09,2.62,-23.62,0.27,-7.15,-83.33,-244.44,202603.00,0.00,-0.06,-50.00,-7.12,-50.00
Zenlabs Ethica,530697,,INE546F01013,Commercial Services & Supplies,Diversified Commercial Services,37.77,1229.50,24.59,0.00,0.00,-100.00,10.58,-18.55,5.07,-8.75,-92.59,-30.62,202603.00,-2.98,0.00,-71.89,-11.15,-71.89
