Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Average return on capital employed 5Years
HDFC AMC,541729,HDFCAMC,INE127D01025,Capital Markets,Asset Management Company,2662.30,39.96,114120.34,2.01,623.29,-2.42,1050.48,16.56,42.88,1.70,16.19,-1.44,202603.00,66.75,14.55,26.01,38.48
Hexaware Tech.,544362,HEXT,INE093A01041,IT - Software,Computers - Software & Consulting,524.90,21.85,32072.22,2.16,351.60,7.46,3613.00,12.63,30.07,11.28,19.80,0.72,202603.00,22.85,5.75,-6.83,27.79
Hitachi Energy,543187,POWERINDIA,INE07Y701011,Electrical Equipment,Heavy Electrical Equipment,37230.00,161.44,165942.91,0.02,330.46,79.71,2754.05,46.21,29.02,27.61,167.37,106.84,202603.00,221.63,74.14,118.08,20.99
ICICI AMC,544658,ICICIAMC,INE346A01027,Capital Markets,Asset Management Company,3456.40,51.81,170835.53,0.78,763.42,10.37,1517.01,19.53,115.10,15.82,24.43,18.14,202603.00,66.73,15.45,-57.33,102.76
International Ge,544311,IGIL,INE0Q9301021,Commercial Services & Supplies,Diversified Commercial Services,371.95,27.61,16074.17,0.66,174.23,25.22,296.28,26.51,30.72,25.57,28.06,25.05,202603.00,13.48,4.03,,78.04
Inventurus Knowl,544309,IKS,INE115Q01022,IT - Services,IT Enabled Services,1645.40,39.15,28245.45,0.00,205.97,39.36,857.65,18.47,36.86,19.89,48.96,40.28,202603.00,42.03,12.00,29.59,38.25
KPIT Technologi.,542651,KPITTECH,INE04I401011,IT - Software,Computers - Software & Consulting,787.20,31.87,21580.64,1.09,162.97,-33.38,1711.00,11.95,26.31,10.49,-17.68,-0.77,202603.00,23.25,5.95,21.15,31.94
L&T Technology,540115,LTTS,INE010V01017,IT - Services,IT Enabled Services,3424.05,26.88,36318.39,1.69,332.70,23.41,2857.90,8.34,26.71,14.04,6.91,8.12,202603.00,120.68,31.33,3.46,30.80
LTM,540005,LTM,INE214T01019,IT - Software,Computers - Software & Consulting,4199.25,23.08,124558.71,1.78,1387.30,19.36,11291.70,15.56,29.60,11.31,17.52,16.33,202603.00,169.25,46.96,6.95,34.98
Natl. Aluminium,532234,NATIONALUM,INE139A01034,Non - Ferrous Metals,Aluminium,423.00,13.40,77689.59,2.43,1722.44,-16.68,5012.82,-4.84,39.59,6.29,10.05,5.60,202603.00,31.56,9.38,59.34,29.70
Netweb Technol.,543945,NETWEB,INE0NT901020,IT - Services,IT Enabled Services,4723.45,130.64,26895.68,0.05,70.59,65.67,773.70,86.59,37.50,90.04,80.50,78.01,202603.00,36.15,12.40,57.69,44.88
Nippon Life Ind.,540767,NAM-INDIA,INE298J01013,Capital Markets,Asset Management Company,1094.00,45.69,69850.01,1.94,384.72,28.84,738.73,30.39,43.80,7.57,18.89,3.80,202603.00,23.97,6.03,27.34,35.43
Page Industries,532827,PAGEIND,INE761H01022,Textiles & Apparels,Garments & Apparels,37691.15,53.24,42040.23,2.41,178.73,8.98,1252.60,14.07,64.38,6.32,8.33,8.50,202603.00,684.80,160.24,11.41,57.94
Pidilite Inds.,500331,PIDILITIND,INE318A01026,Chemicals & Petrochemicals,Specialty Chemicals,1468.30,60.76,149439.94,0.67,584.15,32.82,3583.38,14.08,30.97,11.11,17.47,16.81,202603.00,24.06,5.69,24.50,27.93
Polycab India,542652,POLYCAB,INE455K01017,Industrial Products,Cables - Electricals,9446.40,53.23,142224.86,0.37,785.61,6.34,8864.48,26.89,34.32,28.90,38.37,35.17,202603.00,177.48,51.33,29.82,28.71
Schaeffler India,505790,SCHAEFFLER,INE513A01022,Auto Components,Auto Components & Equipments,4102.45,51.31,64122.78,0.85,319.71,20.46,2506.96,18.81,27.90,17.45,23.16,20.94,202603.00,80.01,20.45,11.33,26.76
Tata Technolog.,544028,TATATECH,INE142M01025,IT - Services,IT Enabled Services,716.85,47.47,29107.82,1.14,204.17,-8.66,1572.22,22.29,20.90,6.52,-9.43,-8.68,202603.00,13.46,5.03,-0.61,25.54
Travel Food,544443,TRAVELFOOD,INE103V01028,Leisure Services,Restaurants,1231.30,36.78,16213.71,0.00,122.60,17.45,460.68,25.67,42.37,-2.37,21.67,17.04,202603.00,33.49,9.17,-62.11,33.91
Trent,500251,TRENT,INE849A01020,Retailing,Speciality Retail,4229.00,86.44,150335.99,0.14,413.10,25.83,5027.99,19.23,27.80,17.16,20.07,30.26,202603.00,48.37,11.26,71.13,20.20
Varun Beverages,540180,VBL,INE200M01039,Beverages,Other Beverages,526.85,56.04,178196.22,0.28,878.72,20.08,6574.19,18.09,19.71,6.75,14.32,6.43,202603.00,9.41,2.58,22.31,23.58
