Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years,Profit growth 3Years
National Perox.,544205,,INE0PO601011,Chemicals & Petrochemicals,Commodity Chemicals,615.20,18.99,353.55,1.13,6.61,642.70,96.07,44.12,2.55,14.16,389.13,293.08,202606.00,31.43,11.50,,-8.41,-40.50
Natl. Plywood,516062,,INE497C01016,"Paper, Forest & Jute Products",Forest Products,2.57,,6.33,0.00,-0.55,-184.62,2.11,-79.37,,11.09,-180.85,-590.41,201912.00,-0.77,-0.22,,-8.97,-44.23
Natl.Fertilizer,523630,NFL,INE870D01012,Fertilizers & Agrochemicals,Fertilizers,67.23,9.08,3298.17,1.56,113.38,387.47,4500.39,27.34,9.10,23.27,137.75,68.20,202606.00,7.43,2.31,-23.18,-10.07,-23.18
Netlink Solns(I),509040,,INE040F01033,IT - Software,Software Products,192.55,67.62,48.71,0.00,0.43,-75.29,0.00,-100.00,6.09,-80.00,-86.64,41.58,202606.00,2.85,1.70,-24.30,-71.19,-24.30
Nilachal Carbo,544510,,INE346R01013,Ferrous Metals,Ferro & Silica Manganese,131.80,31.17,328.54,0.00,2.87,,95.62,,14.54,-0.55,-24.82,-16.94,202603.00,4.23,1.15,-13.96,-9.03,-10.74
NOCIL,500730,NOCIL,INE163A01018,Chemicals & Petrochemicals,Specialty Chemicals,185.45,44.56,3097.45,0.77,27.76,60.83,403.02,19.87,3.93,0.96,-25.26,-8.85,202606.00,3.96,1.66,-32.34,-6.94,-32.29
Objectone Inform,535657,,INE860E01011,IT - Software,Computers - Software & Consulting,7.49,7.81,7.88,0.00,0.10,112.20,2.96,7.64,2.99,-7.95,265.57,1238.46,202606.00,0.96,0.10,-62.00,-13.04,-62.00
Ola Electric,544225,OLAELEC,INE0LXG01040,Automobiles,2/3 Wheelers,37.93,,17555.55,0.00,-336.00,21.50,455.00,-45.05,-19.56,-49.16,26.13,48.05,202606.00,-3.91,-0.73,12.35,-5.04,-11.72
Ortel Commu.,539015,ORTEL,INE849L01019,Entertainment,TV Broadcasting & Software Production,1.79,,5.90,0.00,-9.31,-278.46,10.47,-42.41,-13.42,-27.55,-9.34,-18.72,202106.00,-8.74,-2.82,-8.34,-28.25,-12.54
Pacific Inds,523483,PACIFICI,INE883C01025,Consumer Durables,Granites & Marbles,144.95,36.19,99.91,0.00,1.69,81.72,63.92,28.72,1.09,-28.21,-59.71,-32.12,202606.00,4.00,2.45,-34.46,-6.17,-34.46
Panorama Studios,539469,PANORAMA,INE258R01028,Entertainment,"Film Production, Distribution & Exhibition",52.37,56.50,1364.40,0.11,12.71,165.95,183.07,34.26,8.70,-23.59,-44.35,-42.07,202606.00,0.93,0.52,-29.39,-6.00,-25.07
Paramount Cosmet,507970,,INE143I01013,Personal Products,Personal Care,36.13,76.26,17.54,0.00,0.12,300.00,3.36,-28.21,7.94,-6.00,560.00,-35.40,202606.00,0.47,0.25,-38.02,-7.15,-38.02
Pavna Industries,543915,PAVNAIND,INE07S101038,Auto Components,Auto Components & Equipments,15.50,28.58,216.27,0.00,0.88,352.63,91.88,52.12,5.49,13.36,42.03,5.85,202606.00,0.54,0.06,-16.09,-6.38,-12.20
PBM Polytex,514087,PBMPOLY,INE501F01018,Textiles & Apparels,Other Textile Products,59.70,22.31,41.07,0.00,1.95,232.65,38.85,-16.40,-1.35,-12.43,138.10,51.31,202606.00,2.67,2.83,-11.56,-6.27,-11.56
Pentokey Organy,524210,,INE702E01015,Chemicals & Petrochemicals,Commodity Chemicals,31.40,72.92,19.69,0.00,0.22,-54.17,0.00,-100.00,2.09,-83.36,-60.87,-231.25,202606.00,0.43,0.35,-60.23,-21.80,-60.23
PNC Infratech,539150,PNCINFRA,INE195J01029,Construction,Civil Construction,140.40,5.96,3601.83,0.41,331.93,103.45,1688.46,18.67,7.97,-6.48,50.37,-11.74,202606.00,28.55,12.94,-37.82,-12.29,-37.82
Precision Camshf,539636,PRECAM,INE484I01029,Auto Components,Auto Components & Equipments,112.45,33.91,1068.10,0.86,8.45,-69.13,187.89,-3.65,7.28,-4.88,-11.34,-14.12,202606.00,4.30,0.89,-18.67,-10.56,-18.67
Prerna Infra.,531802,,INE426H01014,Realty,"Residential, Commercial Projects",23.99,23.94,86.67,0.00,0.13,950.00,1.53,,2.80,42.88,2162.50,100.35,202606.00,1.00,0.09,-42.61,-19.50,-42.60
Primo Chemicals,506852,PRIMO,INE607A01022,Chemicals & Petrochemicals,Commodity Chemicals,22.93,35.59,555.70,0.00,4.68,14.71,140.28,-1.17,6.48,-2.70,-17.36,-6.68,202606.00,0.66,0.19,-51.69,-7.11,-51.69
Priti Internati.,,PRITI,INE974Z01015,Consumer Durables,"Furniture, Home Furnishing",33.99,59.71,45.39,0.00,0.12,-53.85,3.43,-51.96,1.83,-65.55,-78.47,-135.82,202606.00,0.57,0.09,-53.12,-32.27,-50.89
Prolife Indust.,,PROLIFE,INE994V01012,Chemicals & Petrochemicals,Dyes And Pigments,79.00,7.61,32.34,0.38,2.76,200.00,25.77,-10.49,12.17,-1.72,-9.19,-27.82,202603.00,10.38,6.74,-14.96,-11.37,-14.96
Pulz Electronics,,PULZ,INE335X01014,Consumer Durables,Consumer Electronics,23.95,11.26,52.23,0.00,2.86,32.41,19.53,19.45,18.29,-9.18,-25.76,-28.91,202603.00,2.13,1.31,-11.71,-9.01,-11.70
Quadpro ITeS,,QUADPRO,INE0GOJ01027,IT - Services,IT Enabled Services,3.00,94.81,15.17,0.00,-0.02,-108.33,3.29,-10.60,1.86,-17.96,-75.00,-50.37,202603.00,0.04,0.00,-41.02,-9.37,-41.02
Rain Industries,500339,RAIN,INE855B01025,Chemicals & Petrochemicals,Petrochemicals,196.85,12.33,6621.02,0.46,340.99,387.99,5167.16,17.40,8.26,17.02,228.66,77.37,202606.00,15.97,8.81,-69.07,-6.92,-69.07
Raj Television,532826,RAJTV,INE952H01027,Entertainment,TV Broadcasting & Software Production,8.62,,44.74,0.00,-1.01,-388.57,14.97,-9.66,2.63,-41.48,84.96,1015.38,202606.00,-0.11,-0.19,-10.17,-6.17,-10.17
Ram Info,530951,,INE357B01022,IT - Services,IT Enabled Services,43.38,17.49,35.50,0.00,0.41,360.00,26.20,125.67,4.69,130.65,109.28,146.11,202606.00,2.48,0.28,-37.85,-20.09,-33.59
Rama Steel Tubes,539309,RAMASTEEL,INE230R01035,Industrial Products,Iron & Steel Products,3.90,49.25,638.01,0.00,5.44,-3.95,223.34,-16.70,5.57,-1.84,-40.35,12.20,202606.00,0.08,0.03,-26.15,-5.61,-22.17
Ranjeet Mechatr.,541945,,INE01A501027,Construction,Civil Construction,6.75,81.82,27.00,0.00,-0.06,-103.82,14.26,85.44,5.45,170.06,-50.75,-26.48,202603.00,0.08,-0.02,-32.56,-8.25,-22.54
Rishiroop,526492,,INE582D01013,Industrial Products,Rubber,125.00,10.71,114.54,1.23,12.68,46.25,25.05,41.85,5.34,6.68,-3.95,64.26,202606.00,11.69,13.84,-17.64,-6.72,-17.64
Rossell India,533168,ROSSELLIND,INE847C01020,Agricultural Food & other Products,Tea & Coffee,56.66,17.98,213.60,0.72,3.81,-52.43,36.78,-15.60,9.37,12.27,-41.93,-22.17,202606.00,3.09,1.01,-16.27,-13.83,-16.27
RRIL,531307,RRIL,INE951M01037,Textiles & Apparels,Other Textile Products,16.25,21.93,196.97,0.00,1.76,21.38,29.49,22.98,9.79,5.50,20.54,8.22,202606.00,0.74,0.15,-14.27,-7.57,-14.27
Ruchira Papers,532785,RUCHIRA,INE803H01014,"Paper, Forest & Jute Products",Paper & Paper Products,106.55,9.53,318.00,2.36,6.14,-63.84,174.92,3.79,11.06,-1.26,-52.09,-36.68,202606.00,11.16,2.06,-13.25,-6.85,-13.25
Sahara Housing,511533,,INE135C01012,Finance,Housing Finance Company,39.00,91.01,27.31,0.00,0.17,-19.05,1.66,-5.14,2.87,-12.73,-51.61,-36.47,202606.00,0.43,0.24,-37.90,-13.81,-37.90
Sahara Maritime,544056,,INE0PSJ01011,Transport Services,Logistics Solution Provider,22.50,8.86,6.91,0.00,0.84,47.37,11.14,-36.16,8.46,-27.69,225.00,58.23,202603.00,2.54,2.74,-20.90,-11.24,-11.88
Sailani Tours N,543541,,INE0KHQ01010,Leisure Services,"Tour, Travel Related Services",10.56,19.87,4.97,0.00,0.10,0.00,11.81,11.52,5.25,19.16,38.89,-2.25,202603.00,0.53,0.21,-17.17,-5.49,-17.17
Sakuma Exports,532713,SAKUMA,INE190H01024,Commercial Services & Supplies,Trading & Distributors,1.55,22.74,243.00,0.00,2.82,70.91,333.32,-11.30,1.74,-13.44,-0.74,-33.37,202606.00,0.07,0.02,-27.87,-18.65,-27.87
Sam Industries,532005,,INE653D01012,Realty,"Residential, Commercial Projects",38.10,11.36,42.24,0.00,0.46,-71.60,3.71,63.44,4.19,9.31,15.53,19.44,202606.00,3.35,0.41,-58.98,-20.16,-58.98
Sanblue Corp.,521222,,INE602D01027,Textiles & Apparels,Trading - Textile Products,31.08,74.00,15.54,0.00,-0.05,28.57,1.54,340.00,0.41,115.84,-32.26,19.44,202606.00,0.42,-0.10,-34.94,-5.50,-34.94
