Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Debt to equity,Interest Coverage Ratio
T N Merc. Bank,543596,TMB,INE668A01016,Banks,Private Sector Bank,692.55,8.20,10966.63,1.59,373.65,28.01,1550.38,15.56,7.51,9.98,13.14,11.07,202603.00,84.47,23.60,9.13,6.17,1.55
Tarapur Trans,533203,TARAPUR,INE747K01017,Electrical Equipment,Heavy Electrical Equipment,20.79,,40.54,0.00,-1.26,94.74,0.00,,5.72,,83.53,92.69,202603.00,-0.95,-0.65,24.26,16.11,0.26
Tata Capital,544574,TATACAP,INE976I01016,Finance,Non Banking Financial Company (NBFC),305.90,26.62,129850.54,0.00,1466.27,42.82,8160.10,9.12,8.58,11.35,33.36,13.75,202603.00,11.42,3.54,10.51,5.15,1.41
TIL,505196,TIL,INE806C01018,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,186.76,,1707.08,0.00,-9.97,-144.98,108.84,7.21,2.60,2.53,-4965.38,-67.18,202603.00,-3.73,-1.21,22.74,3.44,0.24
Tips Films,543614,TIPSFILMS,INE0LQS01015,Entertainment,"Film Production, Distribution & Exhibition",363.90,,157.31,0.00,-3.47,89.39,2.36,-96.09,-6.69,113.76,65.09,64.62,202603.00,-36.67,-8.03,,6.30,-20.23
Tirupati Starch,524582,,INE314D01011,Food Products,Other Food Products,148.75,25.20,142.64,0.00,2.46,-66.89,91.94,-7.34,10.36,-0.08,-12.11,-25.31,202512.00,5.90,2.57,-12.65,2.18,1.78
Transgene Biotek,526139,,INE773D01018,Healthcare Services,Healthcare Service Provider,3.15,,23.87,0.00,-0.46,35.21,0.05,-37.50,-2.36,-19.23,-142.65,51.79,202603.00,-0.22,-0.06,19.94,2.05,-0.56
TruCap Finance,540268,TRU,INE615R01029,Finance,Non Banking Financial Company (NBFC),5.98,,71.08,0.00,-17.71,74.85,14.50,-58.95,-14.42,-58.04,-65.77,-333.47,202603.00,-9.29,-1.49,,6.29,-1.03
Tulsyan NEC,513629,,INE463D01016,Industrial Products,Iron & Steel Products,35.00,,57.61,0.00,-19.36,53.72,164.97,-22.91,1.57,-7.00,13.47,-102.80,202603.00,-39.08,-11.76,,2.19,0.13
UCO Bank,532505,UCOBANK,INE691A01018,Banks,Public Sector Bank,25.21,11.42,31612.23,1.75,801.15,22.79,6656.33,-1.31,5.55,4.84,13.21,14.47,202603.00,2.21,0.64,12.32,10.55,1.27
Ugar Sugar Works,530363,UGARSUGAR,INE071E01023,Agricultural Food & other Products,Sugar,41.42,34.24,465.98,0.00,45.76,-10.42,389.49,-23.78,9.00,11.61,176.42,155.98,202603.00,1.21,4.07,-49.07,2.86,1.27
Ugro Capital,511742,UGROCAP,INE583D01011,Finance,Non Banking Financial Company (NBFC),97.63,8.67,1516.08,0.00,51.11,,606.57,,,,,,202603.00,11.26,3.29,,3.71,1.26
Ujjivan Small,542904,UJJIVANSFB,INE551W01018,Banks,Other Bank,54.39,15.27,10575.81,0.00,281.97,238.13,1878.36,19.39,7.74,9.08,-4.66,-2.86,202603.00,3.57,1.45,-14.12,7.35,1.30
Union Bank (I),532477,UNIONBANK,INE692A01016,Banks,Public Sector Bank,167.88,6.60,128152.97,2.83,5503.61,9.83,26675.95,-4.28,6.30,-1.49,7.79,-2.06,202603.00,25.45,7.21,26.90,10.39,1.35
Uniroyal Marine,526113,,INE602H01010,Food Products,Seafood,13.31,6.53,8.62,0.00,0.04,100.00,4.30,-63.59,10.52,-23.52,154.10,173.43,202512.00,2.04,0.06,-20.63,16.41,1.88
United Foodbrands,543283,UFBL,INE382M01027,Leisure Services,Restaurants,493.20,,1927.74,0.00,-15.07,33.71,360.40,23.10,1.52,8.57,-112.77,-8.68,202603.00,-15.13,-3.43,,2.85,0.21
Utkarsh Small F.,543942,UTKARSHBNK,INE735W01017,Banks,Other Bank,13.26,,2359.65,0.00,-188.02,-6430.64,836.75,-4.87,1.46,-10.26,-4977.03,-102.85,202603.00,-6.47,-1.06,,9.00,0.21
V I P Inds.,507880,VIPIND,INE054A01027,Consumer Durables,Plastic Products - Consumer,299.40,,4253.03,0.00,-128.90,-316.17,436.23,-11.73,-28.89,-14.70,-430.58,-373.85,202603.00,-23.79,-9.07,,2.55,-4.92
Veejay Lak. Eng.,522267,,INE466D01019,Industrial Manufacturing,Industrial Products,38.95,,19.75,0.00,-0.35,75.35,24.45,36.59,-6.64,0.73,-62.28,-232.62,202603.00,-10.78,-0.69,17.27,2.94,-1.20
Veekayem Fash.,,VEEKAYEM,INE0KTW01013,Textiles & Apparels,Garments & Apparels,140.00,10.47,82.26,0.00,3.18,7.07,98.48,-19.75,14.05,9.18,44.22,35.34,202509.00,13.38,5.41,44.23,2.09,1.78
Vijay Textiles,530151,,INE256G01033,Textiles & Apparels,Other Textile Products,5.79,,10.60,0.00,-3.83,80.03,1.41,-53.77,-2.20,-39.49,38.56,-303.85,202503.00,-7.89,-2.09,5.42,7.04,-0.65
Vineet Laborator,543298,VINEETLAB,INE505Y01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,33.97,,65.24,0.00,0.85,114.89,15.65,-13.54,-27.95,-44.28,-30.97,-180.11,202512.00,-5.29,0.44,,3.01,-1.29
Visagar Polytex,506146,VIVIDHA,INE370E01029,Textiles & Apparels,Garments & Apparels,0.58,,16.98,0.00,-0.42,16.00,0.00,,-17.81,,7.23,-18.64,202603.00,-0.05,-0.01,-3.45,5.62,-2.77
Vishvprabha Ven.,512064,,INE762D01011,Commercial Services & Supplies,Diversified Commercial Services,40.79,,12.72,0.00,-0.75,-7600.00,0.98,-61.57,8.21,4.36,-1336.36,-88.47,202512.00,-4.36,-2.41,17.35,2.15,-0.01
Westlife Food,505533,WESTLIFE,INE274F01020,Leisure Services,Restaurants,449.90,1362.25,7015.57,0.17,2.38,56.58,655.36,8.66,6.11,5.39,-33.55,2.38,202603.00,2.07,0.15,-64.14,2.92,0.98
Wework India,544570,WEWORK,INE085001019,Commercial Services & Supplies,Diversified Commercial Services,600.80,107.73,8242.61,0.00,64.37,71.84,692.85,29.35,20.57,25.23,-56.63,27.11,202603.00,5.33,4.75,30.34,18.18,1.09
Wires & Fabriks,507817,,INE469D01013,Textiles & Apparels,Other Textile Products,153.85,181.08,47.08,0.06,0.15,-51.61,28.76,8.20,5.52,5.90,-82.67,29.55,202603.00,0.85,0.49,-42.11,2.08,1.06
Worth Investment,538451,,INE114O01020,Finance,Investment Company,4.45,47.13,164.97,0.00,1.30,6600.00,8.26,560.80,5.21,145.70,84.21,144.99,202603.00,0.09,0.04,18.34,6.64,1.82
Yash Innoventure,523650,,INE823D01011,Commercial Services & Supplies,Diversified Commercial Services,45.00,,72.13,0.00,-0.86,66.27,0.00,,-3.85,-727.27,-16.92,12.14,202603.00,1.10,-0.54,-79.69,2.68,-0.57
Yes Bank,532648,YESBANK,INE528G01035,Banks,Private Sector Bank,23.15,20.69,72658.33,0.00,1082.32,45.35,7662.27,0.51,5.98,-2.30,42.87,-7.92,202603.00,1.12,0.34,63.92,7.51,1.23
