Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Debt to equity,Interest Coverage Ratio
City Union Bank,532210,CUB,INE491A01021,Banks,Private Sector Bank,255.45,14.31,18982.25,0.78,359.56,24.86,1855.62,21.07,6.74,17.75,18.04,13.45,202603.00,17.85,4.84,12.13,7.92,1.41
CLC Industries,521082,CLCIND,INE376C01038,Textiles & Apparels,Other Textile Products,30.14,,31.33,0.00,-0.02,99.51,44.35,-20.18,-4.60,542.55,1.57,-120.70,202603.00,-8.43,-0.02,,55.90,-0.55
Clean Max Enviro,544717,CLEANMAX,INE647U01026,Power,Power Generation,1109.90,138.06,12995.51,0.00,45.40,151.79,557.46,25.13,6.24,27.89,228.67,25.65,202603.00,8.04,4.73,-66.96,2.73,1.17
Compuage Info.,532456,COMPINFO,INE070C01037,IT - Hardware,Computers Hardware & Equipments,1.33,,11.41,0.00,-137.42,-1417.55,388.94,-69.83,-11.29,-99.33,47.90,53.25,202403.00,-43.70,-16.02,,5.71,-1.11
Cosmo Ferrites,523100,,INE124B01018,Industrial Manufacturing,Industrial Products,182.05,,219.01,0.00,0.26,116.77,27.19,39.58,4.55,15.09,76.42,178.57,202603.00,-1.31,0.22,,3.00,0.71
CreditAcc. Gram.,541770,CREDITACC,INE741K01010,Finance,Microfinance Institutions,1295.50,26.69,20756.86,0.00,339.55,619.23,1597.27,13.55,9.96,5.33,46.34,9.90,202603.00,48.54,21.20,-2.81,3.01,1.54
Crimson Metal,526977,,INE318P01016,Industrial Products,Iron & Steel Products,48.28,152.71,21.38,0.00,0.03,,1.88,-34.49,7.92,-17.24,7.69,4.96,202603.00,0.32,0.07,-24.09,4.37,1.09
CSB Bank,542867,CSBBANK,INE679A01013,Banks,Private Sector Bank,352.85,9.67,6121.45,0.00,201.58,5.85,1200.86,22.43,7.05,25.24,6.60,21.46,202603.00,36.50,11.62,4.99,10.50,1.31
DCB Bank,532772,DCBBANK,INE503A01015,Banks,Private Sector Bank,175.33,7.72,5646.56,0.77,205.65,16.14,1907.27,9.49,7.40,14.43,18.92,11.58,202603.00,22.73,6.39,14.95,12.05,1.20
Delta Manufact.,504286,DELTAMAGNT,INE393A01011,Industrial Products,Other Industrial Products,61.92,,67.19,0.00,-2.62,17.54,18.49,18.60,-0.45,1.43,91.30,132.62,202603.00,-11.44,-2.41,24.49,17.29,-0.24
Devyani Intl.,543330,DEVYANI,INE872J01023,Leisure Services,Restaurants,115.36,,14223.19,0.00,-9.84,7.80,1436.86,18.50,4.66,13.34,-478.59,1.17,202603.00,-0.31,-0.08,,2.49,0.87
Dhanlaxmi Bank,532180,DHANBANK,INE680A01011,Banks,Private Sector Bank,32.88,12.63,1297.77,0.00,43.49,50.07,443.05,26.36,5.81,21.34,54.70,21.02,202603.00,2.60,1.10,28.33,13.15,1.14
East India Drums,523874,,INE191C01023,Commercial Services & Supplies,Trading & Distributors,117.00,35.94,172.86,1.28,1.05,8.25,56.87,-14.11,34.98,23.60,85.00,61.67,202512.00,3.26,0.71,164.83,2.56,1.79
Edelweiss.Fin.,532922,EDELWEISS,INE532F01054,Finance,Holding Company,112.82,17.45,10678.77,1.33,131.96,-16.84,1918.10,-15.88,14.10,10.64,53.41,-8.62,202603.00,5.78,0.93,21.00,4.02,1.37
Elgi Rubber Co,,ELGIRUBCO,INE819L01012,Industrial Products,Rubber,47.50,,237.98,0.00,-204.05,-179.70,86.34,-11.19,-12.92,-4.54,-281.03,-1048.46,202603.00,-48.00,-40.77,,4.13,-1.70
Energy Devl.Co.,532219,ENERGYDEV,INE306C01019,Power,Power Generation,16.44,59.61,78.09,0.00,-13.76,63.59,4.17,47.87,14.27,41.18,103.30,70.83,202603.00,-0.05,-2.90,-32.24,35.16,1.92
Energy InfrTrust,542543,,INE05KD23015,Gas,Gas Transmission/Marketing,77.50,43.67,5146.00,24.75,47.68,52.53,1001.79,3.84,5.47,-2.50,1215.29,10.29,202603.00,1.77,0.72,-39.67,13.32,1.23
Equitas Sma. Fin,543243,EQUITASBNK,INE063P01018,Banks,Other Bank,70.21,77.75,8014.98,0.00,212.68,405.06,1836.35,11.70,6.44,7.64,-29.68,-1.52,202603.00,0.90,1.86,-44.08,8.54,1.04
ESAF Small Fin,544020,ESAFSFB,INE818W01011,Banks,Other Bank,28.61,,1475.35,0.00,23.51,112.83,995.08,11.55,5.64,-8.42,68.09,12.41,202603.00,-3.23,0.46,,16.07,0.88
ESI,590022,EASTSILK,INE962C01035,Textiles & Apparels,Other Textile Products,55.91,,27.96,0.00,-13.42,-480.79,5.50,15.79,-5.83,9.87,-442.93,-500.81,202603.00,-27.20,-26.84,,2.13,-687.00
F A C T,590024,FACT,INE188A01015,Fertilizers & Agrochemicals,Fertilizers,875.65,,56660.86,0.02,3.16,-94.51,1483.85,40.88,4.93,41.30,-279.92,-27.04,202603.00,-0.61,0.05,,2.95,0.84
Fedbank Financi.,544027,FEDFINA,INE007N01010,Finance,Non Banking Financial Company (NBFC),161.69,17.61,6052.42,0.00,100.53,40.31,616.45,14.96,9.06,9.18,52.43,19.62,202603.00,9.18,2.69,15.51,4.67,1.52
Federal Bank,500469,FEDERALBNK,INE171A01029,Banks,Private Sector Bank,288.95,16.40,71243.12,0.42,1392.32,22.92,7946.61,11.80,6.39,5.58,4.52,-2.79,202603.00,17.63,5.44,5.65,8.66,1.33
Finkurve Fin.,508954,FINKURVE,INE734I01027,Finance,Non Banking Financial Company (NBFC),59.77,32.18,837.64,0.00,8.04,105.63,67.33,67.15,10.19,47.02,49.51,103.11,202603.00,1.86,0.57,18.08,2.46,1.71
Fino Payments,543386,FINOPB,INE02NC01014,Banks,Other Bank,127.74,19.02,1063.03,0.00,7.10,-65.04,64.10,21.45,4.53,27.12,-39.59,16.45,202603.00,6.30,0.85,-4.97,5.08,1.63
Flex Foods,523672,,INE954B01018,Agricultural Food & other Products,Other Agricultural Products,40.01,,49.81,1.25,-2.49,52.48,56.28,23.67,-5.22,28.88,2.21,100.97,202603.00,-25.53,-2.00,,33.36,-0.66
Fusion Finance,543652,FUSION,INE139R01012,Finance,Microfinance Institutions,178.47,208.34,2885.57,0.00,114.19,169.39,424.02,-9.02,5.92,-26.78,101.13,238.21,202603.00,0.86,7.08,-67.04,2.27,0.88
G-Tec Janix,,GTECJAINX,INE586X01012,Other Consumer Services,E-Learning,16.69,,17.01,0.00,-0.66,7.04,1.57,-9.25,-36.32,0.00,76.27,78.07,202603.00,-0.86,-0.65,,2.39,-11.83
Gamco Ltd,540097,,INE890S01026,Finance,Other Financial Services,42.15,,227.74,0.24,-47.84,-164.89,70.52,1259.87,-9.04,454.33,-972.09,-276.95,202603.00,-8.33,-8.85,,2.09,-1.51
Gensol Engineer.,542851,GENSOL,INE06H201014,Electrical Equipment,Other Electrical Equipment,18.87,0.71,72.55,0.00,17.86,32.52,344.51,56.42,14.33,74.22,111.15,87.37,202412.00,27.04,4.45,152.94,2.33,1.58
GIC Housing Fin,511676,GICHSGFIN,INE289B01019,Finance,Housing Finance Company,149.01,5.19,802.42,3.02,53.58,23.60,272.70,0.38,7.71,0.29,-9.29,-7.79,202603.00,28.69,9.95,-9.74,4.33,1.23
Global Vectra,532773,GLOBALVECT,INE792H01019,Transport Services,Airline,165.78,,232.09,0.00,-5.59,-156.61,127.51,-5.51,-2.11,-3.83,-5185.94,-62.32,202603.00,-23.06,-3.99,-13.02,21.69,-0.31
GMR Urban,543490,GMRP&UI,INE0CU601026,Power,Power Generation,109.52,,8553.70,0.00,-113.56,-7.90,2004.09,15.35,11.96,15.57,37.96,4.61,202603.00,7.69,-1.43,,6.09,0.89
Grasim Inds,500300,GRASIM,INE047A01021,Cement & Cement Products,Cement & Cement Products,3122.40,41.85,212486.42,0.32,3802.23,30.85,51101.11,15.44,8.07,18.15,37.95,28.43,202603.00,72.98,28.77,-9.41,2.20,1.98
H P Cotton Tex,502873,,INE950C01014,Textiles & Apparels,Other Textile Products,104.00,13.92,40.79,0.00,0.63,-36.36,27.56,-24.35,19.04,2.62,14.01,-6.97,202603.00,7.47,1.61,29.25,2.03,1.67
H U D C O,540530,HUDCO,INE031A01017,Finance,Financial Institution,203.51,10.10,40740.67,2.24,1981.31,172.26,3562.86,25.23,8.41,27.12,48.94,15.37,202603.00,20.15,9.90,33.35,6.45,1.36
HDB FINANC SER,544429,HDBFS,INE756I01012,Finance,Non Banking Financial Company (NBFC),665.85,21.73,55288.03,0.60,750.60,41.38,4745.40,11.24,9.15,13.06,16.91,9.00,202603.00,30.64,9.04,7.37,4.80,1.50
HDFC Bank,500180,HDFCBANK,INE040A01034,Banks,Private Sector Bank,744.55,15.08,1146333.91,1.75,21074.22,8.05,87182.50,0.46,7.04,3.64,7.57,-5.76,202603.00,49.39,13.22,6.27,6.34,1.55
Helpage Finlease,539174,,INE738P01015,Finance,Non Banking Financial Company (NBFC),22.50,7.61,22.38,0.00,0.39,-39.06,2.87,-6.51,12.68,49.02,98.65,44.18,202603.00,2.96,0.39,68.92,5.38,1.53
Hira Automobile,531743,,INE258Z01013,Commercial Services & Supplies,Trading & Distributors,204.00,280.50,56.10,0.00,-0.05,-133.33,34.43,-25.65,7.53,-35.69,-75.31,-40.27,202603.00,0.73,-0.18,-30.66,4.22,1.05
Home First Finan,543259,HOMEFIRST,INE481N01025,Finance,Housing Finance Company,1065.20,20.59,11126.92,0.49,149.45,42.75,501.41,20.92,11.10,24.40,41.43,22.27,202603.00,51.80,14.33,25.93,2.43,1.89
I O B,532388,IOB,INE565A01014,Banks,Public Sector Bank,33.42,12.36,64355.52,0.00,1505.45,43.23,8488.96,11.21,6.06,13.38,56.24,20.19,202603.00,2.70,0.78,34.58,11.19,1.32
I R F C,543257,IRFC,INE053F01010,Finance,Financial Institution,97.51,18.18,127431.00,2.15,1684.31,0.15,7336.05,9.11,5.64,0.49,7.80,-0.12,202603.00,5.36,1.29,3.42,7.69,1.35
ICICI Bank,532174,ICICIBANK,INE090A01021,Banks,Private Sector Bank,1256.40,16.62,900876.72,0.88,15680.64,9.28,49593.75,2.49,7.20,4.77,6.29,-12.56,202603.00,75.71,20.61,15.85,5.69,1.87
IDBI Bank,500116,IDBI,INE008A01015,Banks,Private Sector Bank,73.83,8.62,79384.99,2.84,2012.56,-3.85,7803.71,11.75,6.50,0.35,20.66,0.97,202603.00,8.57,1.87,35.44,5.47,1.75
IDFC First Bank,539437,IDFCFIRSTB,INE092T01019,Banks,Private Sector Bank,71.32,37.53,61413.00,0.35,318.94,4.89,10552.77,12.11,5.99,11.09,7.89,2.98,202603.00,1.90,0.37,-19.76,7.04,1.09
IIFL Finance,532636,IIFL,INE530B01024,Finance,Non Banking Financial Company (NBFC),466.90,11.96,19858.42,0.86,623.26,182.57,3692.50,42.50,10.78,30.45,194.35,46.48,202603.00,39.05,13.80,3.27,5.01,1.42
Indergiri Fin.,531505,,INE628F01019,Finance,Non Banking Financial Company (NBFC),17.92,,9.07,0.00,0.17,110.97,1.43,142.37,-1.15,-0.45,12.10,-4.11,202603.00,-2.73,0.34,,8.66,-0.12
Indian Acrylics,514165,,INE862B01013,Chemicals & Petrochemicals,Petrochemicals,6.04,,81.73,0.00,-11.42,-100.70,74.00,-10.76,-3.31,-9.67,21.15,62.03,202603.00,-1.78,-0.84,,18.14,-0.39
Indian Bank,532814,INDIANB,INE562A01011,Banks,Public Sector Bank,833.00,9.59,112202.10,2.19,3173.55,6.42,17488.50,10.27,6.32,8.81,3.95,10.83,202603.00,86.89,23.56,24.77,10.92,1.41
Indian Renewable,544026,IREDA,INE202E01016,Finance,Financial Institution,133.25,19.98,37433.01,0.45,492.75,-1.80,2174.95,14.22,9.65,23.02,10.26,15.49,202603.00,6.67,1.75,20.78,5.41,1.48
IndiGrid Trust,540565,INDIGRID,INE219X23014,Power,Power - Transmission,171.43,49.49,19510.08,12.73,185.18,60.05,2239.57,156.15,7.94,45.04,14.27,5.93,202603.00,4.14,1.91,-11.71,3.52,1.27
Indiqube Spaces,544454,INDIQUBE,INE06ST01018,Commercial Services & Supplies,Diversified Commercial Services,159.38,,3378.82,0.00,-22.65,27.71,401.45,35.20,6.38,36.96,23.87,42.95,202603.00,-5.02,-1.07,,10.12,0.70
