Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Pledged percentage
True Green,533407,,INE672K01025,Textiles & Apparels,Other Textile Products,159.00,400.02,524.02,0.00,2.19,4280.00,84.20,4476.09,-0.63,57.50
Tulsyan NEC,513629,,INE463D01016,Industrial Products,Iron & Steel Products,35.00,,57.61,0.00,-19.36,53.72,164.97,-22.91,1.57,99.63
TV Vision,540083,TVVISION,INE871L01013,Entertainment,TV Broadcasting & Software Production,5.22,,20.22,0.00,-13.29,-69.08,0.15,-98.35,,49.81
TVS Supply,543965,TVSSCS,INE395N01027,Transport Services,Logistics Solution Provider,117.19,27.81,5170.19,0.00,18.36,543.40,3032.22,21.35,9.88,31.87
UFO Moviez,539141,UFO,INE527H01019,Entertainment,"Film Production, Distribution & Exhibition",73.31,11.42,284.55,0.00,4.48,730.99,133.22,43.19,12.18,26.15
V-Marc India,,VMARCIND,INE0GXK01018,Industrial Products,Cables - Electricals,1386.10,33.82,3384.95,0.00,63.63,157.30,1105.46,97.52,41.38,43.15
Valor Estate,533160,DBREALTY,INE879I01012,Leisure Services,Hotels & Resorts,120.12,,6515.39,0.00,-58.90,-370.87,86.91,-83.82,1.55,44.72
Vardhman Polytex,514175,VARDMNPOLY,INE835A01029,Textiles & Apparels,Other Textile Products,6.49,40.82,313.48,0.00,0.88,-11.11,64.85,-20.14,,60.34
Vedavaag Systems,533056,,INE359B01010,IT - Services,IT Enabled Services,20.06,9.05,47.07,2.49,0.21,-57.14,49.39,70.49,5.60,42.43
Veefin Solutions,543931,,INE0Q0M01015,IT - Services,IT Enabled Services,325.30,36.47,830.80,0.00,15.98,,131.35,,9.85,72.12
Ventive Hospital,544321,VENTIVE,INE781S01027,Leisure Services,Hotels & Resorts,621.75,33.74,14520.45,0.00,259.23,82.23,778.79,11.58,10.81,41.06
Veranda Learning,543514,VERANDA,INE0IQ001011,Other Consumer Services,E-Learning,234.89,86.52,2262.48,0.00,12.59,105.38,116.80,17.80,-12.96,30.45
Vertoz,,VERTOZ,INE188Y01031,Media,Advertising & Media Agencies,47.72,15.51,406.72,0.00,6.16,-15.78,75.42,13.93,14.68,62.95
Vijay Textiles,530151,,INE256G01033,Textiles & Apparels,Other Textile Products,5.79,,10.60,0.00,-3.83,80.03,1.41,-53.77,-2.20,50.27
Vikas Wsp,519307,VIKASWSP,INE706A01022,Agricultural Food & other Products,Other Agricultural Products,0.98,,20.04,0.00,-40.72,-9831.71,0.00,,-10.14,56.92
Vintage Coffee,538920,VINCOFE,INE498Q01014,Commercial Services & Supplies,Trading & Distributors,144.88,29.24,2110.73,0.07,21.01,34.34,165.31,57.23,18.18,25.95
Vipul Ltd,511726,VIPULLTD,INE946H01037,Realty,"Residential, Commercial Projects",8.81,,124.19,0.00,1.21,-67.56,9.19,-18.38,-0.44,30.71
VISA Chrome,532721,VISACHROME,INE286H01012,Ferrous Metals,Ferro & Silica Manganese,52.85,,770.50,0.00,1082.58,42.57,170.98,5.28,-5.58,48.79
Visagar Polytex,506146,VIVIDHA,INE370E01029,Textiles & Apparels,Garments & Apparels,0.58,,16.98,0.00,-0.42,16.00,0.00,,-17.81,83.69
Vishnu Prakash R,543974,VPRPL,INE0AE001013,Construction,Civil Construction,39.91,72.30,497.45,0.00,-29.98,-618.65,177.48,-26.34,11.41,87.71
VMS Industries,533427,,INE932K01015,Transport Infrastructure,Port & Port services,23.18,38.86,56.73,2.16,0.30,-94.16,50.30,-3.45,5.08,47.63
Waa Solar,541445,,INE799N01012,Power,Power Generation,56.55,115.42,75.02,0.00,-1.17,-114.19,18.96,36.80,3.28,75.16
Walchan. Inds.,507410,WALCHANNAG,INE711A01022,Industrial Manufacturing,Industrial Products,253.36,,1718.85,0.00,2.94,104.03,93.02,75.24,4.28,49.20
Wanbury,524212,WANBURY,INE107F01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,308.65,16.67,1078.40,0.00,15.76,1191.80,162.45,21.73,33.93,62.18
Wardwizard Inno.,538970,,INE945P01024,Automobiles,2/3 Wheelers,6.79,26.39,204.26,1.47,0.03,-99.21,62.72,-27.30,12.37,34.53
Websol Energy,517498,WEBELSOLAR,INE855C01023,Electrical Equipment,Other Electrical Equipment,109.26,15.60,4743.67,0.00,124.50,152.31,401.45,132.07,63.18,89.39
Wework India,544570,WEWORK,INE085001019,Commercial Services & Supplies,Diversified Commercial Services,600.80,107.73,8242.61,0.00,64.37,71.84,692.85,29.35,20.57,41.41
Windsor Machines,522029,WINDMACHIN,INE052A01021,Industrial Manufacturing,Industrial Products,286.95,2082.69,2520.06,0.00,7.24,212.70,184.64,52.82,2.11,36.85
Winsome Yarns,514348,WINSOME,INE784B01035,Textiles & Apparels,Other Textile Products,2.41,,17.04,0.00,-3.66,-94.68,0.78,85.71,-13.51,95.03
Zee Learn,533287,ZEELEARN,INE565L01011,Other Consumer Services,Education,7.01,10.01,229.27,0.00,45.42,-4.21,176.77,11.40,12.97,29.16
Zuari Agro Chem.,534742,ZUARI,INE840M01016,Fertilizers & Agrochemicals,Fertilizers,222.07,3.14,933.98,0.00,-25.10,-212.74,187.33,-80.32,16.38,26.54
