Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years
Hindustan Copper,513599,HINDCOPPER,INE531E01026,Non - Ferrous Metals,Copper,495.70,39.54,47935.44,0.57,352.61,162.59,936.50,81.36,42.38,67.07,147.12,138.12,202606.00,11.78,3.65,49.82,22.43
Hindustan Foods,519126,HNDFDS,INE254N01026,Diversified FMCG,Diversified FMCG,600.70,44.99,7278.24,0.00,42.76,32.75,1201.08,17.90,14.06,17.64,40.19,25.85,202606.00,13.20,3.53,26.29,17.84
Hitachi Energy,543187,POWERINDIA,INE07Y701011,Electrical Equipment,Heavy Electrical Equipment,30210.00,112.98,134653.11,0.03,294.15,123.52,2493.69,68.62,29.36,40.17,135.80,112.70,202606.00,258.09,65.99,118.14,22.17
ICICI AMC,544658,ICICIAMC,INE346A01027,Capital Markets,Asset Management Company,3078.50,43.71,152157.45,0.89,964.63,23.10,1564.22,17.55,115.10,20.53,24.43,24.59,202606.00,100.95,19.52,-57.33,28.35
India Glycols,500201,INDIAGLYCO,INE560A01023,Beverages,Breweries & Distilleries,280.95,5.94,1883.12,2.67,96.83,32.19,1130.39,8.64,12.40,12.01,30.01,25.07,202606.00,48.01,14.45,35.12,16.68
India Nipp.Elec.,532240,INDNIPPON,INE092B01025,Auto Components,Auto Components & Equipments,1285.00,31.87,2906.89,1.17,39.83,4.11,299.46,28.11,16.96,26.47,10.85,26.39,202603.00,49.14,17.61,23.66,17.64
Innova Captab,544067,INNOVACAP,INE0DUT01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,1138.05,42.28,6512.50,0.17,44.13,42.26,470.85,33.94,14.96,34.47,18.68,32.34,202606.00,26.92,7.71,21.11,20.73
International Gemological Instit,544311,IGIL,INE0Q9301021,Commercial Services & Supplies,Diversified Commercial Services,313.65,22.24,13554.69,0.82,165.74,30.99,370.78,23.22,69.25,21.59,24.26,23.71,202606.00,14.11,3.84,,48.18
Inventurus Knowl,544309,IKS,INE115Q01022,IT - Services,IT Enabled Services,1782.60,40.12,30600.70,0.00,193.74,27.85,893.63,20.74,31.51,21.10,40.91,35.89,202606.00,44.50,11.29,29.56,45.76
Ipca Labs.,524494,IPCALAB,INE571A01038,Pharmaceuticals & Biotechnology,Pharmaceuticals,1941.00,35.87,49243.94,0.30,424.27,72.33,2788.10,20.76,16.98,10.59,53.52,27.53,202606.00,51.63,15.84,37.40,15.66
Jaro Institute,544534,JARO,INE00YJ01010,Other Consumer Services,E-Learning,466.85,18.40,1039.68,1.06,11.17,48.34,70.75,16.61,22.09,12.52,34.84,4.43,202606.00,25.49,5.02,37.26,30.88
Jeena Sikho,544476,JSLL,INE0J5801029,Leisure Services,Wellness,502.55,26.41,6246.74,0.89,65.69,28.03,224.40,28.75,70.74,56.71,103.13,86.67,202606.00,19.03,5.28,88.23,57.83
Jindal Drilling,511034,JINDRILL,INE742C01031,Oil,Offshore Support Solution Drilling,604.70,9.00,1752.39,0.16,47.14,-28.69,275.39,8.38,13.67,11.72,-18.20,11.47,202606.00,66.13,16.27,21.94,24.84
JSW Infrast,543994,JSWINFRA,INE880J01026,Transport Infrastructure,Port & Port services,329.70,49.47,76820.15,0.26,357.60,-9.89,1444.83,18.06,13.59,19.02,-2.82,15.79,202606.00,6.91,1.49,23.55,18.84
Jupiter Life Lin,543980,JLHL,INE682M01020,Healthcare Services,Hospital,275.05,47.19,9016.97,0.07,37.52,-14.58,410.98,16.44,14.80,14.76,-0.87,10.05,202606.00,5.72,1.14,30.15,18.89
Jyoti CNC Auto.,544081,JYOTICNC,INE980O01024,Industrial Manufacturing,Industrial Products,976.50,69.04,22207.91,0.00,57.14,-19.99,508.47,23.97,21.32,17.44,-4.40,7.72,202606.00,14.15,2.51,60.90,31.08
K.P. Energy,539686,KPEL,INE127T01021,Power,Power Generation,211.90,7.90,1436.62,0.42,26.08,2.60,519.46,136.61,39.22,74.26,48.57,64.07,202606.00,27.04,3.85,61.01,50.68
Kalyan Jewellers,543278,KALYANKJIL,INE303R01014,Consumer Durables,"Gems, Jewellery And Watches",610.35,43.15,63033.97,0.41,348.67,32.03,10588.93,45.68,21.15,45.79,82.64,57.13,202606.00,13.90,3.38,44.45,36.44
Kalyani Cast-Tec,544023,,INE0N6U01018,Industrial Manufacturing,Industrial Products,1145.00,46.04,822.17,0.00,7.53,20.87,57.59,-16.57,31.04,7.74,28.12,14.37,202603.00,24.87,10.49,15.76,33.34
KMC Speciality,524520,KMCSHIL,INE879K01018,Healthcare Services,Hospital,134.10,39.16,2187.20,0.00,16.57,119.76,91.78,37.91,26.24,35.06,137.83,65.48,202606.00,3.42,1.02,20.40,25.21
