Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Debt to equity,Interest Coverage Ratio
Steelman Telecom,543622,,INE0MSK01016,Telecom - Services,Other Telecom Services,72.00,,69.67,0.00,-5.80,-271.14,113.50,-12.31,-3.56,-0.27,-342.93,188.26,202603.00,-6.47,-3.56,,2.75,-0.51
Sundaram Finance,590071,SUNDARMFIN,INE660A01013,Finance,Non Banking Financial Company (NBFC),4743.50,23.17,52702.06,0.82,636.19,33.88,2644.13,12.57,9.44,13.75,18.63,12.72,202606.00,199.81,57.26,16.75,4.68,1.61
Sunil Agro Foods,530953,,INE224D01012,Agricultural Food & other Products,Other Agricultural Products,79.95,42.12,24.01,0.00,0.10,233.33,40.51,-21.60,8.95,-20.03,170.37,72.75,202606.00,1.57,0.33,-21.24,2.50,1.19
Supra Pacific,540168,,INE268T01015,Finance,Non Banking Financial Company (NBFC),34.24,18.01,168.25,0.59,2.67,117.07,24.01,31.49,12.09,66.68,307.42,87.56,202606.00,1.81,0.54,135.59,3.09,1.24
Supreme Infra.,532904,SUPREMEINF,INE550H01011,Construction,Civil Construction,84.21,,821.07,0.00,-59.17,85.21,24.12,189.90,,69.66,77.72,110.67,202606.00,634.53,-6.07,22.51,6.25,0.00
Suryoday Small,543279,SURYODAY,INE428Q01011,Banks,Other Bank,145.65,8.06,1548.18,1.02,75.18,113.10,622.36,25.69,7.33,16.66,139.27,31.36,202606.00,18.05,7.07,24.99,8.24,1.23
Swan Defence,533107,SWANDEF,INE542F01020,Industrial Manufacturing,Ship Building & Allied Services,2655.00,,13987.11,0.00,-41.68,-35.37,30.61,7188.10,-7.60,4092.35,-49.74,-167.61,202606.00,-44.96,-7.91,,40.03,-7.95
Synergy Green,541929,SGIL,INE00QT01015,Industrial Products,Castings & Forgings,595.00,,924.82,0.17,-10.11,-399.11,75.15,-10.06,9.24,-2.47,-152.45,-38.48,202606.00,-5.68,-6.50,86.14,2.25,0.67
T N Merc. Bank,543596,TMB,INE668A01016,Banks,Private Sector Bank,875.00,9.66,13855.77,1.43,411.51,34.97,1662.43,19.92,7.51,12.96,20.33,16.41,202606.00,91.20,25.99,9.12,6.24,1.58
Tarapur Trans,533203,TARAPUR,INE747K01017,Electrical Equipment,Heavy Electrical Equipment,12.37,,24.12,0.00,-0.44,-540.00,0.00,,2.60,,90.63,30.50,202606.00,-1.22,-0.23,23.60,16.11,-0.26
Tata Capital,544574,TATACAP,INE976I01016,Finance,Non Banking Financial Company (NBFC),354.20,27.70,150353.27,0.16,1628.18,56.32,8821.93,15.10,8.58,11.09,29.63,12.35,202606.00,12.86,3.65,10.49,5.15,1.45
TIL,505196,TIL,INE806C01018,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,245.00,,2015.48,0.00,-4.75,18.97,117.13,86.19,2.90,21.29,-943.91,81.98,202606.00,-3.74,-0.66,22.76,3.44,0.36
Transgene Biotek,526139,,INE773D01018,Healthcare Services,Healthcare Service Provider,2.68,,20.29,0.00,-0.39,9.30,0.06,20.00,-2.36,-22.22,-23.85,43.37,202606.00,-0.21,-0.05,19.94,2.05,-0.46
TruCap Finance,540268,TRU,INE615R01029,Finance,Non Banking Financial Company (NBFC),4.30,,51.11,0.00,-10.40,-17.25,11.27,-62.46,-14.42,-63.51,-33.92,-1516.17,202606.00,-8.66,-0.87,,6.29,-1.30
Tulsyan NEC,513629,,INE463D01016,Industrial Products,Iron & Steel Products,28.00,,46.09,0.00,-21.41,-108.88,146.70,-42.98,-3.12,-18.04,9.47,-271.15,202606.00,-45.86,-13.01,,2.19,0.02
UCO Bank,532505,UCOBANK,INE691A01018,Banks,Public Sector Bank,23.76,10.58,29793.98,1.83,656.32,8.05,6996.00,8.70,5.55,5.35,12.60,20.24,202606.00,2.25,0.52,12.32,10.50,1.37
Ugar Sugar Works,530363,UGARSUGAR,INE071E01023,Agricultural Food & other Products,Sugar,53.50,20.89,601.91,0.18,1.49,110.85,477.88,34.11,9.00,17.18,258.90,221.18,202606.00,2.56,0.13,-49.07,2.86,1.49
Ugro Capital,511742,UGROCAP,INE583D01011,Finance,Non Banking Financial Company (NBFC),83.14,9.24,1291.04,0.00,60.71,77.88,417.41,0.82,10.12,16.54,-5.25,17.32,202606.00,9.93,3.91,17.86,3.24,1.17
Ujjivan Small,542904,UJJIVANSFB,INE551W01018,Banks,Other Bank,64.39,13.85,12546.62,0.00,316.54,206.67,2024.92,25.08,7.73,14.72,71.50,22.56,202606.00,4.67,1.63,-14.09,7.25,1.38
Union Bank (I),532477,UNIONBANK,INE692A01016,Banks,Public Sector Bank,175.15,6.47,133702.62,2.82,5641.52,27.41,27427.10,1.21,6.30,-1.33,9.73,-0.45,202606.00,27.04,7.39,26.88,9.74,1.38
Uniroyal Marine,526113,,INE602H01010,Food Products,Seafood,17.00,,11.02,0.00,-1.22,-913.33,3.20,-29.82,10.98,-4.65,-219.57,-169.49,202606.00,-1.70,-1.88,48.67,19.84,0.08
United Foodbrands,543283,UFBL,INE382M01027,Leisure Services,Restaurants,668.00,,2613.08,0.00,2.30,118.83,425.90,43.41,1.52,19.87,-0.79,5.04,202606.00,-10.14,0.79,,2.85,0.45
Utkarsh Small F.,543942,UTKARSHBNK,INE735W01017,Banks,Other Bank,14.25,,2535.81,0.00,-33.92,85.84,883.56,0.30,1.46,-8.11,-167.70,-66.68,202606.00,-5.31,-0.19,,8.82,0.35
V I P Inds.,507880,VIPIND,INE054A01027,Consumer Durables,Plastic Products - Consumer,292.50,,4155.06,0.00,-53.56,-259.70,578.36,3.02,-28.89,-10.75,-375.47,-580.27,202606.00,-26.64,-3.77,,2.55,-5.47
Vani Commercials,538918,,INE661Q01017,Finance,Non Banking Financial Company (NBFC),8.87,63.63,26.08,0.00,0.25,25.00,1.58,20.61,4.51,68.44,38.46,70.16,202603.00,0.12,0.09,,2.22,1.48
Veejay Lak. Eng.,522267,,INE466D01019,Industrial Manufacturing,Industrial Products,39.03,,19.79,0.00,-0.34,79.76,15.81,-22.19,-6.75,-9.85,-25.54,-58.37,202606.00,-8.16,-0.67,17.10,2.95,-0.75
Vijay Textiles,530151,,INE256G01033,Textiles & Apparels,Other Textile Products,3.60,,6.60,0.00,-3.83,80.03,1.41,-53.77,-2.20,-39.49,38.56,-303.85,202503.00,-7.89,-2.09,5.42,7.04,-0.65
Visagar Polytex,506146,VIVIDHA,INE370E01029,Textiles & Apparels,Garments & Apparels,0.54,,15.79,0.00,-0.39,35.00,0.23,109.09,-17.81,118.18,27.72,34.57,202606.00,-0.05,-0.01,-3.45,5.62,-2.71
Vishvprabha Ven.,512064,,INE762D01011,Commercial Services & Supplies,Diversified Commercial Services,40.20,,12.53,0.00,0.12,116.90,3.04,-23.62,-0.77,-10.92,-25.00,7.88,202606.00,-2.57,0.38,,2.63,0.43
Westlife Food,505533,WESTLIFE,INE274F01020,Leisure Services,Restaurants,557.00,,8685.63,0.13,0.59,-52.03,735.64,11.86,6.34,6.75,-186.56,5.49,202606.00,2.03,0.04,,2.92,0.97
Wework India,544570,WEWORK,INE085001019,Commercial Services & Supplies,Diversified Commercial Services,673.40,108.05,9351.55,0.00,-4.58,68.65,680.20,27.39,20.57,27.10,-54.22,30.12,202606.00,6.10,-0.33,30.34,18.18,1.10
Wires & Fabriks,507817,,INE469D01013,Textiles & Apparels,Other Textile Products,162.00,165.23,49.57,0.06,0.05,400.00,29.16,4.33,5.52,4.60,-79.17,3.50,202606.00,0.98,0.16,-42.11,2.08,1.09
Worth Investment,538451,,INE114O01020,Finance,Investment Company,3.59,33.47,133.08,0.00,1.29,59.26,6.53,426.61,5.21,250.59,108.38,268.71,202606.00,0.11,0.03,18.34,6.64,1.53
Yash Innoventure,523650,,INE823D01011,Commercial Services & Supplies,Diversified Commercial Services,41.98,,67.29,0.00,-1.62,-526.32,0.00,-100.00,-8.89,-47.37,-45.01,-177.61,202606.00,-3.18,-1.01,-79.69,2.68,-3.10
Yes Bank,532648,YESBANK,INE528G01035,Banks,Private Sector Bank,23.21,19.22,72852.16,0.00,1071.81,32.54,8054.49,5.92,5.98,-0.45,37.81,-2.31,202606.00,1.20,0.34,63.92,7.32,1.24
