Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Sales growth 3Years
SML Mahindra,505192,SMLMAH,INE294B01019,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,3707.45,33.62,5364.68,0.63,54.20,2.36,897.65,16.45,30.92,18.30,31.43,18.69,202603.00,110.39,37.45,100.43,15.93
SMS Pharma.,532815,SMSPHARMA,INE812G01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,367.40,33.76,3440.79,0.11,32.71,60.97,237.95,-4.13,13.30,13.30,47.53,23.23,202603.00,10.89,3.49,147.38,19.32
Spunweb Nonwoven,,SPUNWEB,INE19QH01010,Textiles & Apparels,Other Textile Products,113.05,11.81,272.49,0.00,12.33,67.76,188.08,52.29,26.87,43.38,113.81,78.53,202603.00,9.57,5.12,103.84,40.93
SRM Contractors,544158,SRM,INE0R6Z01013,Construction,Civil Construction,524.90,10.87,1204.32,0.00,54.10,124.67,445.75,95.87,37.14,94.19,101.89,106.32,202603.00,48.39,23.58,63.20,50.59
Supreme Power,,SUPREMEPWR,INE0QHG01026,Electrical Equipment,Other Electrical Equipment,234.55,28.68,586.17,0.00,11.03,-3.84,109.42,21.62,21.51,31.27,9.89,25.82,202603.00,8.18,4.41,-68.94,36.02
Supriya Lifesci.,543434,SUPRIYA,INE07RO01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,995.30,38.24,8010.47,0.10,74.23,47.34,276.53,50.20,25.13,18.87,11.44,12.70,202603.00,25.98,9.22,32.55,21.56
Swaraj Suiting,,SWARAJ,INE0GMR01016,Textiles & Apparels,Other Textile Products,232.95,11.04,591.45,0.00,24.68,34.57,207.25,22.42,17.92,38.45,60.62,52.34,202603.00,21.14,9.72,75.32,38.06
Syncom Formul.,524470,SYNCOMF,INE312C01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,15.10,18.70,1419.40,0.00,24.57,40.48,134.00,-9.74,26.84,5.65,56.50,43.74,202603.00,0.81,0.26,56.22,29.91
Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015,Industrial Manufacturing,Industrial Products,1102.50,66.24,21259.52,0.14,119.23,55.84,1465.01,58.49,20.01,27.26,102.06,68.41,202603.00,16.48,5.25,35.33,33.00
Syschem (India),531173,,INE121D01036,Pharmaceuticals & Biotechnology,Pharmaceuticals,47.75,21.42,234.06,0.00,1.74,278.26,219.35,84.53,15.93,72.99,2276.09,427.25,202603.00,2.23,0.36,25.42,71.59
Systango Tech,,SYSTANGO,INE0O7R01011,IT - Software,Computers - Software & Consulting,212.85,9.80,312.23,3.27,13.57,-3.28,44.89,17.02,32.99,34.61,50.95,48.39,202603.00,21.73,9.25,32.23,19.97
